category,metric,value
retail_pnl,mean,8614729.4515151
retail_pnl,median,8631163.993755288
retail_pnl,std,1221404.5416973752
retail_pnl,min,5461509.966302657
retail_pnl,max,11248053.504957156
retail_pnl,win_rate,1.0
retail_pnl,sharpe,7.05313363215703
big_player_pnl,mean,-7956785.540934292
big_player_pnl,median,-8067419.647579128
big_player_pnl,std,1756542.1388380504
big_player_pnl,min,-12098888.920649894
big_player_pnl,max,-2028789.0074428658
big_player_pnl,win_rate,0.0
big_player_pnl,sharpe,-4.529800546770653
market_efficiency,mean,0.0
market_efficiency,median,0.0
market_efficiency,std,0.0
market_efficiency,min,0.0
market_efficiency,max,0.0
nash_equilibrium,mean_price,1373.3520869439653
nash_equilibrium,std_price,48.785408060992765
nash_equilibrium,mean_deviation,12.737137777832599
nash_equilibrium,mean_sentiment,0.4521046053554347
fomo_herding,avg_sentiment_volatility,0.1383601368593139
fomo_herding,avg_volume_volatility,33.55640988411156
fomo_herding,sentiment_volume_correlation,0.6772045810140649
fomo_herding,sentiment_volume_correlation_std,0.1179246963409413
exploitation,mean,0.048455310069913445
exploitation,median,0.05467332450371269
exploitation,std,0.03449441341865835
